"ID_REF"	"WT.GSM130365"	"WT.GSM130366"	"WT.GSM130367"	"KO.GSM130368"	"KO.GSM130369"	"KO.GSM130370"
"102376_r_at"	215	291.7	666	229	447	207.7
"102378_at"	12	26.6	17.1	19.2	26	9.1
"102379_at"	200.4	229	196.4	156.2	161.8	181.5
"102380_s_at"	38	37	49.5	26.9	34	21.3
"102381_at"	815.2	699.6	587.9	437.4	606.5	569.3
"102382_at"	327.9	276.1	280.4	317.6	464.7	506.4
"102383_at"	705.6	691	622.9	687.8	687.7	637.4
"102384_at"	95.1	126.8	11.8	108.3	63.8	82.3
"102385_at"	1810.6	1964.4	2195.2	1774.6	1476.2	1520.4
"102387_at"	2869.6	2971.5	2539.8	3171.5	3135.6	2962.1
"102389_s_at"	117.5	190.8	134.4	121.6	112.6	53.8
"102393_at"	97.8	139.8	322.4	66.3	164.7	135.3
"102395_at"	311.6	269.2	252.1	131.4	102.5	154.5
"102396_at"	435.8	467.3	388.6	320.3	307.6	258.3
"102397_at"	22.6	3.7	34.9	4.7	8.1	10.4
"102398_at"	1720.3	1171.6	1771.3	1103.3	1187.5	1242.1
"102399_at"	1229.7	1372.8	1380.7	911.3	1048.4	965.7
"102400_at"	351.7	497.5	401	497.6	463.6	557.6
"102401_at"	382.4	448.2	455.6	340.9	313.4	332.4
"102402_at"	825.5	865.7	815.1	885.6	858.8	805.6
"102403_at"	708.9	679.5	710.1	994.6	933.7	777.9
"102404_at"	52.5	102.2	54.3	6.5	90.3	79.6
"102405_at"	44.8	30.1	15.4	54.4	26.5	13.8
"102406_at"	7.7	30	23	28.8	21.9	8.4
"102407_at"	13	7.4	17.1	5.4	14.3	13.6
"102408_g_at"	13.7	30.2	20.1	11.7	22.2	16.3
"102409_at"	1290.7	1432.9	1376.5	1310.9	1322.8	1589.6
"102410_at"	6.3	10.5	16	12.5	50.1	75
"102411_at"	195.5	216.4	261.1	202.8	185.8	129.4
"102412_at"	1796.3	1855.8	1691.7	2020	1759.7	1741.9
"102413_at"	314.4	203.5	237	198	274.5	324.9
"102414_i_at"	148.4	213.4	212.4	246.3	208.4	148
"102415_r_at"	70.5	94.4	159.4	81.3	62.5	82.1
"102416_at"	30.2	56.9	82.7	78.7	41.8	71.3
"102418_at"	931.6	1050.7	986.2	2525.1	2270.3	2250.3
"102419_at"	810	807.3	907.4	677	736.1	864.5
"102421_at"	292	306.2	285.2	285.8	329.3	131.4
"102423_at"	76.7	93.9	78.4	48.8	55.8	38
"102424_at"	23.2	68.9	43.2	94.4	27.6	29.1
"102425_at"	212.7	201.7	200.1	260.4	165.3	262.1
